"","x"
"1","totalIgG_LAM"
"2","IgG1_ESAT6"
"3","IgG1_Hspx"
"4","IgG1_Ag85"
"5","IgG1_Tbad"
"6","IgG1_LAM"
"7","IgG2_PPD"
"8","IgG2_ESAT6"
"9","IgG2_CFP10"
"10","IgG2_LAM"
"11","IgG3_LAM"
"12","IgG4_ESAT6"
"13","IgG4_Ag85"
"14","IgG4_LAM"
"15","IgA1_PPD"
"16","IgA1_CFP10"
"17","IgA1_LAM"
"18","IgA2_LAM"
"19","IgM_PPD"
"20","IgM_ESAT6"
"21","IgM_LAM"
"22","FcgR2A_PPD"
"23","FcgR3A_LAM"
"24","FcgR3A_ESAT6.CFP10"
"25","FcgR3A_Hspx"
"26","FcgR3B_PPD"
"27","FcgR3B_Ag85.AB"
"28","RCA_PPD"
"29","RCA_LAM"
