"","x"
"1","totalIgG_LAM"
"2","IgG1_Hspx"
"3","IgG1_CFP10"
"4","IgG1_Ag85"
"5","IgG1_LAM"
"6","IgG2_PPD"
"7","IgG2_ESAT6"
"8","IgG2_CFP10"
"9","IgG2_LAM"
"10","IgG3_CFP10"
"11","IgG3_Tbad"
"12","IgG3_LAM"
"13","IgG4_ESAT6"
"14","IgG4_Ag85"
"15","IgG4_LAM"
"16","IgA1_PPD"
"17","IgA1_LAM"
"18","IgA2_PPD"
"19","IgA2_ESAT6"
"20","IgM_PPD"
"21","IgM_ESAT6"
"22","IgM_LAM"
"23","FcgR2A_PPD"
"24","FcgR2B_Hspx"
"25","FcgR3A_ESAT6.CFP10"
"26","FcgR3B_PPD"
"27","FcgR3B_Ag85.AB"
"28","SNA_ESAT6.CFP10"
"29","RCA_LAM"
