"","x"
"1","totalIgG_LAM"
"2","IgG1_ESAT6"
"3","IgG1_Hspx"
"4","IgG1_CFP10"
"5","IgG1_LAM"
"6","IgG2_PPD"
"7","IgG2_ESAT6"
"8","IgG2_Hspx"
"9","IgG2_CFP10"
"10","IgG2_Ag85"
"11","IgG2_LAM"
"12","IgG3_CFP10"
"13","IgG3_Ag85"
"14","IgG3_Tbad"
"15","IgG3_LAM"
"16","IgG4_PPD"
"17","IgG4_ESAT6"
"18","IgG4_Hspx"
"19","IgG4_Ag85"
"20","IgG4_LAM"
"21","IgA1_PPD"
"22","IgA1_LAM"
"23","IgM_PPD"
"24","IgM_ESAT6"
"25","IgM_LAM"
"26","FcgR2A_PPD"
"27","FcgR2A_Hspx"
"28","FcgR2B_TbAd"
"29","FcgR3A_LAM"
"30","FcgR3A_ESAT6.CFP10"
"31","FcgR3B_PPD"
"32","FcgR3B_Ag85.AB"
"33","SNA_LAM"
"34","RCA_PPD"
"35","RCA_LAM"
