"","x"
"1","totalIgG_LAM"
"2","IgG1_ESAT6"
"3","IgG1_Hspx"
"4","IgG1_Ag85"
"5","IgG1_LAM"
"6","IgG2_PPD"
"7","IgG2_ESAT6"
"8","IgG2_Hspx"
"9","IgG2_CFP10"
"10","IgG2_LAM"
"11","IgG3_CFP10"
"12","IgG3_LAM"
"13","IgG4_ESAT6"
"14","IgG4_Hspx"
"15","IgG4_Ag85"
"16","IgA1_PPD"
"17","IgA1_LAM"
"18","IgA2_PPD"
"19","IgM_PPD"
"20","IgM_ESAT6"
"21","IgM_Hspx"
"22","IgM_LAM"
"23","FcgR2A_LAM"
"24","FcgR2A_Hspx"
"25","FcgR3A_ESAT6.CFP10"
"26","FcgR3A_Hspx"
"27","FcgR3B_LAM"
"28","FcgR3B_PPD"
"29","FcgR3B_Ag85.AB"
"30","SNA_ESAT6.CFP10"
