"","x"
"1","totalIgG_Hspx"
"2","totalIgG_LAM"
"3","IgG1_ESAT6"
"4","IgG1_Hspx"
"5","IgG1_CFP10"
"6","IgG1_Ag85"
"7","IgG1_LAM"
"8","IgG2_PPD"
"9","IgG2_ESAT6"
"10","IgG2_CFP10"
"11","IgG2_LAM"
"12","IgG3_LAM"
"13","IgG4_PPD"
"14","IgG4_ESAT6"
"15","IgG4_Hspx"
"16","IgG4_Ag85"
"17","IgG4_LAM"
"18","IgA1_PPD"
"19","IgA1_Ag85"
"20","IgA2_Tbad"
"21","IgM_PPD"
"22","IgM_ESAT6"
"23","IgM_LAM"
"24","FcgR2A_PPD"
"25","FcgR2B_PPD"
"26","FcgR2B_TbAd"
"27","FcgR3A_LAM"
"28","FcgR3A_ESAT6.CFP10"
"29","FcgR3B_LAM"
"30","FcgR3B_PPD"
"31","FcgR3B_Ag85.AB"
"32","SNA_Tbad"
"33","SNA_LAM"
"34","RCA_PPD"
"35","RCA_LAM"
