"","x"
"1","totalIgG_Tbad"
"2","totalIgG_LAM"
"3","IgG1_Hspx"
"4","IgG1_Ag85"
"5","IgG1_LAM"
"6","IgG2_PPD"
"7","IgG2_ESAT6"
"8","IgG2_CFP10"
"9","IgG2_LAM"
"10","IgG3_LAM"
"11","IgG4_ESAT6"
"12","IgG4_Ag85"
"13","IgA1_PPD"
"14","IgA1_ESAT6"
"15","IgA1_CFP10"
"16","IgA1_Ag85"
"17","IgA2_PPD"
"18","IgM_PPD"
"19","IgM_ESAT6"
"20","IgM_LAM"
"21","FcgR2B_Hspx"
"22","FcgR3A_LAM"
"23","FcgR3B_LAM"
"24","FcgR3B_PPD"
"25","FcgR3B_Ag85.AB"
"26","SNA_ESAT6.CFP10"
"27","SNA_Tbad"
"28","SNA_LAM"
"29","RCA_PPD"
