"","x"
"1","totalIgG_Ag85"
"2","totalIgG_LAM"
"3","IgG1_Hspx"
"4","IgG1_LAM"
"5","IgG2_PPD"
"6","IgG2_ESAT6"
"7","IgG2_CFP10"
"8","IgG2_Tbad"
"9","IgG2_LAM"
"10","IgG3_CFP10"
"11","IgG3_Ag85"
"12","IgG3_Tbad"
"13","IgG3_LAM"
"14","IgG4_ESAT6"
"15","IgG4_Hspx"
"16","IgG4_Ag85"
"17","IgG4_Tbad"
"18","IgA1_PPD"
"19","IgA2_PPD"
"20","IgA2_ESAT6"
"21","IgA2_Tbad"
"22","IgM_PPD"
"23","IgM_ESAT6"
"24","IgM_LAM"
"25","FcgR2A_PPD"
"26","FcgR3A_ESAT6.CFP10"
"27","FcgR3B_PPD"
"28","SNA_ESAT6.CFP10"
"29","RCA_LAM"
