"","x"
"1","totalIgG_Ag85"
"2","totalIgG_Tbad"
"3","totalIgG_LAM"
"4","IgG1_ESAT6"
"5","IgG1_Hspx"
"6","IgG1_CFP10"
"7","IgG1_Ag85"
"8","IgG1_Tbad"
"9","IgG1_LAM"
"10","IgG2_PPD"
"11","IgG2_ESAT6"
"12","IgG2_CFP10"
"13","IgG2_Ag85"
"14","IgG2_LAM"
"15","IgG3_Tbad"
"16","IgG3_LAM"
"17","IgG4_PPD"
"18","IgG4_ESAT6"
"19","IgG4_Ag85"
"20","IgG4_LAM"
"21","IgA1_PPD"
"22","IgA1_CFP10"
"23","IgA1_LAM"
"24","IgM_PPD"
"25","IgM_ESAT6"
"26","IgM_LAM"
"27","FcgR2B_PPD"
"28","FcgR2B_TbAd"
"29","FcgR2B_Hspx"
"30","FcgR3A_ESAT6.CFP10"
"31","FcgR3A_Ag85.AB"
"32","FcgR3B_LAM"
"33","FcgR3B_PPD"
"34","SNA_Tbad"
"35","SNA_LAM"
"36","RCA_PPD"
