"","x"
"1","totalIgG_Hspx"
"2","totalIgG_LAM"
"3","IgG1_ESAT6"
"4","IgG1_Hspx"
"5","IgG1_Ag85"
"6","IgG1_LAM"
"7","IgG2_PPD"
"8","IgG2_CFP10"
"9","IgG2_Ag85"
"10","IgG2_Tbad"
"11","IgG2_LAM"
"12","IgG3_CFP10"
"13","IgG3_LAM"
"14","IgG4_ESAT6"
"15","IgG4_Hspx"
"16","IgG4_Ag85"
"17","IgG4_LAM"
"18","IgA1_PPD"
"19","IgA1_CFP10"
"20","IgA2_PPD"
"21","IgA2_LAM"
"22","IgM_PPD"
"23","IgM_ESAT6"
"24","IgM_LAM"
"25","FcgR2A_PPD"
"26","FcgR2B_PPD"
"27","FcgR2B_TbAd"
"28","FcgR2B_Hspx"
"29","FcgR3A_LAM"
"30","FcgR3B_PPD"
"31","SNA_Tbad"
"32","SNA_LAM"
