"","x"
"1","totalIgG_Hspx"
"2","totalIgG_LAM"
"3","IgG1_ESAT6"
"4","IgG1_Hspx"
"5","IgG1_CFP10"
"6","IgG1_Ag85"
"7","IgG1_LAM"
"8","IgG2_PPD"
"9","IgG2_ESAT6"
"10","IgG2_Hspx"
"11","IgG2_CFP10"
"12","IgG2_Ag85"
"13","IgG2_LAM"
"14","IgG3_Hspx"
"15","IgG3_CFP10"
"16","IgG3_LAM"
"17","IgG4_PPD"
"18","IgG4_ESAT6"
"19","IgG4_Hspx"
"20","IgG4_Ag85"
"21","IgG4_LAM"
"22","IgA1_PPD"
"23","IgA1_ESAT6"
"24","IgA1_CFP10"
"25","IgA1_LAM"
"26","IgA2_PPD"
"27","IgM_PPD"
"28","IgM_ESAT6"
"29","IgM_LAM"
"30","FcgR2A_LAM"
"31","FcgR2A_PPD"
"32","FcgR2A_Hspx"
"33","FcgR3A_LAM"
"34","FcgR3A_ESAT6.CFP10"
"35","FcgR3A_PPD"
"36","FcgR3A_Hspx"
"37","FcgR3B_PPD"
"38","FcgR3B_Ag85.AB"
"39","SNA_LAM"
"40","RCA_PPD"
