"","x"
"1","totalIgG_Hspx"
"2","totalIgG_Tbad"
"3","totalIgG_LAM"
"4","IgG1_ESAT6"
"5","IgG1_Hspx"
"6","IgG1_CFP10"
"7","IgG1_Ag85"
"8","IgG1_LAM"
"9","IgG2_PPD"
"10","IgG2_ESAT6"
"11","IgG2_CFP10"
"12","IgG2_Ag85"
"13","IgG2_LAM"
"14","IgG3_CFP10"
"15","IgG3_LAM"
"16","IgG4_ESAT6"
"17","IgG4_Ag85"
"18","IgA1_Hspx"
"19","IgA1_CFP10"
"20","IgA1_Ag85"
"21","IgA1_LAM"
"22","IgA2_PPD"
"23","IgM_PPD"
"24","IgM_ESAT6"
"25","IgM_Hspx"
"26","IgM_Ag85"
"27","IgM_LAM"
"28","FcgR2A_PPD"
"29","FcgR2B_Hspx"
"30","FcgR3A_ESAT6.CFP10"
"31","FcgR3A_TbAd"
"32","FcgR3B_PPD"
"33","FcgR3B_Ag85.AB"
"34","SNA_Tbad"
"35","RCA_PPD"
"36","RCA_Hspx"
