"","x"
"1","totalIgG_Hspx"
"2","totalIgG_Ag85"
"3","totalIgG_LAM"
"4","IgG1_ESAT6"
"5","IgG1_Hspx"
"6","IgG1_Ag85"
"7","IgG1_LAM"
"8","IgG2_PPD"
"9","IgG2_ESAT6"
"10","IgG2_Hspx"
"11","IgG2_CFP10"
"12","IgG2_LAM"
"13","IgG3_CFP10"
"14","IgG3_LAM"
"15","IgG4_ESAT6"
"16","IgG4_Hspx"
"17","IgA1_LAM"
"18","IgA2_PPD"
"19","IgA2_ESAT6"
"20","IgA2_Ag85"
"21","IgM_PPD"
"22","IgM_ESAT6"
"23","IgM_LAM"
"24","FcgR2A_PPD"
"25","FcgR2B_TbAd"
"26","FcgR3A_TbAd"
"27","FcgR3A_Hspx"
"28","FcgR3B_PPD"
"29","FcgR3B_Ag85.AB"
"30","SNA_ESAT6.CFP10"
"31","SNA_LAM"
"32","Risk6"
