"","x"
"1","totalIgG_Hspx"
"2","totalIgG_LAM"
"3","IgG1_ESAT6"
"4","IgG1_Hspx"
"5","IgG1_LAM"
"6","IgG2_PPD"
"7","IgG2_ESAT6"
"8","IgG2_CFP10"
"9","IgG2_Tbad"
"10","IgG2_LAM"
"11","IgG3_CFP10"
"12","IgG3_Ag85"
"13","IgG3_LAM"
"14","IgG4_PPD"
"15","IgG4_ESAT6"
"16","IgG4_Hspx"
"17","IgG4_Ag85"
"18","IgA1_PPD"
"19","IgA1_ESAT6"
"20","IgA1_Tbad"
"21","IgA1_LAM"
"22","IgA2_PPD"
"23","IgM_PPD"
"24","IgM_ESAT6"
"25","IgM_LAM"
"26","FcgR2A_PPD"
"27","FcgR2A_Hspx"
"28","FcgR3A_LAM"
"29","FcgR3A_TbAd"
"30","FcgR3B_LAM"
"31","FcgR3B_PPD"
"32","FcgR3B_Ag85.AB"
"33","SNA_LAM"
"34","Risk6"
