"","x"
"1","totalIgG_Hspx"
"2","totalIgG_LAM"
"3","IgG1_ESAT6"
"4","IgG1_Hspx"
"5","IgG1_LAM"
"6","IgG2_PPD"
"7","IgG2_ESAT6"
"8","IgG2_CFP10"
"9","IgG2_Tbad"
"10","IgG2_LAM"
"11","IgG3_CFP10"
"12","IgG3_LAM"
"13","IgG4_ESAT6"
"14","IgG4_Ag85"
"15","IgA1_PPD"
"16","IgA1_Ag85"
"17","IgA1_LAM"
"18","IgA2_PPD"
"19","IgA2_ESAT6"
"20","IgM_PPD"
"21","IgM_ESAT6"
"22","IgM_LAM"
"23","FcgR2A_PPD"
"24","FcgR2A_Hspx"
"25","FcgR2B_TbAd"
"26","FcgR3A_LAM"
"27","FcgR3B_PPD"
"28","FcgR3B_Ag85.AB"
"29","SNA_ESAT6.CFP10"
"30","SNA_LAM"
"31","Risk6"
