"","x"
"1","totalIgG_Hspx"
"2","totalIgG_LAM"
"3","IgG1_ESAT6"
"4","IgG1_Hspx"
"5","IgG1_Ag85"
"6","IgG1_LAM"
"7","IgG2_PPD"
"8","IgG2_ESAT6"
"9","IgG2_CFP10"
"10","IgG2_LAM"
"11","IgG3_Hspx"
"12","IgG3_CFP10"
"13","IgG3_Tbad"
"14","IgG3_LAM"
"15","IgG4_PPD"
"16","IgG4_ESAT6"
"17","IgG4_CFP10"
"18","IgG4_Ag85"
"19","IgA1_PPD"
"20","IgA2_PPD"
"21","IgM_PPD"
"22","IgM_ESAT6"
"23","IgM_LAM"
"24","FcgR2A_Hspx"
"25","FcgR2B_Hspx"
"26","FcgR3A_ESAT6.CFP10"
"27","FcgR3B_LAM"
"28","FcgR3B_PPD"
"29","FcgR3B_Ag85.AB"
"30","SNA_ESAT6.CFP10"
"31","RCA_PPD"
"32","Risk6"
