"","x"
"1","totalIgG_Hspx"
"2","totalIgG_Ag85"
"3","IgG1_ESAT6"
"4","IgG1_Hspx"
"5","IgG1_Ag85"
"6","IgG1_LAM"
"7","IgG2_PPD"
"8","IgG2_ESAT6"
"9","IgG2_CFP10"
"10","IgG2_Tbad"
"11","IgG2_LAM"
"12","IgG3_CFP10"
"13","IgG3_LAM"
"14","IgG4_PPD"
"15","IgG4_ESAT6"
"16","IgG4_Ag85"
"17","IgA1_PPD"
"18","IgA2_PPD"
"19","IgA2_ESAT6"
"20","IgA2_Tbad"
"21","IgM_PPD"
"22","IgM_ESAT6"
"23","IgM_Hspx"
"24","IgM_Ag85"
"25","IgM_LAM"
"26","FcgR2B_ESAT6.CFP10"
"27","FcgR3B_PPD"
"28","FcgR3B_Ag85.AB"
"29","RCA_PPD"
"30","Risk6"
