"","x"
"1","totalIgG_Hspx"
"2","totalIgG_LAM"
"3","IgG1_ESAT6"
"4","IgG1_Hspx"
"5","IgG1_Ag85"
"6","IgG1_LAM"
"7","IgG2_PPD"
"8","IgG2_ESAT6"
"9","IgG2_Hspx"
"10","IgG2_CFP10"
"11","IgG2_LAM"
"12","IgG3_CFP10"
"13","IgG3_LAM"
"14","IgG4_PPD"
"15","IgG4_ESAT6"
"16","IgA2_PPD"
"17","IgA2_ESAT6"
"18","IgA2_Tbad"
"19","IgM_PPD"
"20","IgM_ESAT6"
"21","IgM_Hspx"
"22","IgM_LAM"
"23","FcgR2B_Hspx"
"24","FcgR3A_ESAT6.CFP10"
"25","FcgR3B_PPD"
"26","FcgR3B_Ag85.AB"
"27","SNA_Hspx"
"28","SNA_LAM"
"29","Risk6"
