"","x"
"1","totalIgG_Hspx"
"2","IgG1_ESAT6"
"3","IgG1_Hspx"
"4","IgG1_Ag85"
"5","IgG1_LAM"
"6","IgG2_PPD"
"7","IgG2_ESAT6"
"8","IgG2_CFP10"
"9","IgG2_Tbad"
"10","IgG2_LAM"
"11","IgG3_Hspx"
"12","IgG3_CFP10"
"13","IgG3_LAM"
"14","IgG4_PPD"
"15","IgG4_ESAT6"
"16","IgG4_Ag85"
"17","IgG4_Tbad"
"18","IgG4_LAM"
"19","IgA1_PPD"
"20","IgA1_LAM"
"21","IgA2_PPD"
"22","IgA2_ESAT6"
"23","IgA2_Ag85"
"24","IgM_PPD"
"25","IgM_ESAT6"
"26","IgM_LAM"
"27","FcgR2A_PPD"
"28","FcgR2A_Hspx"
"29","FcgR2B_Hspx"
"30","FcgR3A_LAM"
"31","FcgR3B_PPD"
"32","FcgR3B_Ag85.AB"
"33","Risk6"
