"","x"
"1","totalIgG_Hspx"
"2","totalIgG_Ag85"
"3","totalIgG_LAM"
"4","IgG1_ESAT6"
"5","IgG1_Hspx"
"6","IgG1_Ag85"
"7","IgG1_LAM"
"8","IgG2_ESAT6"
"9","IgG2_CFP10"
"10","IgG2_Tbad"
"11","IgG2_LAM"
"12","IgG3_CFP10"
"13","IgG3_Tbad"
"14","IgG3_LAM"
"15","IgG4_PPD"
"16","IgG4_ESAT6"
"17","IgG4_Hspx"
"18","IgG4_Ag85"
"19","IgA1_PPD"
"20","IgA1_LAM"
"21","IgA2_PPD"
"22","IgM_PPD"
"23","IgM_ESAT6"
"24","IgM_LAM"
"25","FcgR2A_PPD"
"26","FcgR2A_Hspx"
"27","FcgR2B_Hspx"
"28","FcgR3A_TbAd"
"29","FcgR3B_PPD"
"30","FcgR3B_Ag85.AB"
"31","SNA_LAM"
"32","RCA_ESAT6.CFP10"
"33","Risk6"
